Issuer Name,Ticker,BICS Level 2,BICS Level 1,Mod Dur (Mid),Cntry of Risk,Amt Out,Cpn,Maturity,Series,BBG Composite,Mty Type,Currency,ISIN,Residual_Maturity,Date_Column,Yield,Date
Telecom Italia Finance SA,TITIM,Wireline Telecommunications Services,Communications,5.441286029819502,IT,710622143.0,7.75,2033-01-24,EMTN,BB,AT MATURITY,EUR,XS0161100515,6.85284052019165,YLD_02012026,3.737,2026-01-02
American Honda Finance Corp,HNDA,Automobiles Manufacturing,Consumer Discretionary,5.063475395762897,US,811725000.0,3.95,2032-03-19,EMTN,A-,AT MATURITY,EUR,XS3032019476,6.00136892539357,YLD_02012026,3.615,2026-01-02
Bayer AG,BAYNGR,Pharmaceuticals,Health Care,0.1581124232560655,DE,465360000.0,2.5540000000000003,2027-08-14,EMTN,BBB,AT MATURITY,EUR,XS3149166541,1.40451745379877,YLD_02012026,2.389,2026-01-02
General Motors Financial Co Inc,GM,Automobiles Manufacturing,Consumer Discretionary,3.0968770788440976,US,694320000.0,3.1,2029-08-04,EMTn,BBB,AT MATURITY,EUR,XS3140075816,3.37850787132101,YLD_02012026,3.075,2026-01-02
Volkswagen Financial Services AG,VW,Automobiles Manufacturing,Consumer Discretionary,3.9854486982835513,DE,806550000.0,3.875,2030-09-10,#N/A Field Not Applicable,BBB+,AT MATURITY,EUR,XS2837886287,4.47912388774812,YLD_02012026,3.308,2026-01-02
Ford Motor Credit Co LLC,F,Automobiles Manufacturing,Consumer Discretionary,3.5176976096228003,US,1073100000.0,4.445,2030-02-14,EMTN,BB+,AT MATURITY,EUR,XS2767246908,3.90965092402464,YLD_02012026,3.829,2026-01-02
BMW International Investment BV,BMW,Automobiles Manufacturing,Consumer Discretionary,3.0712153994014546,DE,1041700000.0,3.125,2029-07-22,EMTN,A,AT MATURITY,EUR,XS2982332400,3.3429158110883,YLD_02012026,2.9,2026-01-02
BMW International Investment BV,BMW,Automobiles Manufacturing,Consumer Discretionary,5.785436502432659,DE,923865000.0,3.5,2032-11-17,EMTN,A,AT MATURITY,EUR,XS2823825802,6.66666666666667,YLD_02012026,3.46,2026-01-02
Petroleos Mexicanos,PEMEX,Integrated Oils,Energy,2.6850196068823635,MX,1466500000.0,4.75,2029-02-26,#N/A Field Not Applicable,BB,AT MATURITY,EUR,XS1824424706,2.94318959616701,YLD_02012026,4.506,2026-01-02
Ford Motor Credit Co LLC,F,Automobiles Manufacturing,Consumer Discretionary,3.889641986034519,US,784725000.0,4.066,2030-08-21,EMTN,BB+,AT MATURITY,EUR,XS3006514536,4.42436687200548,YLD_02012026,3.881,2026-01-02
Volkswagen Financial Services AG,VW,Automobiles Manufacturing,Consumer Discretionary,1.8964784558595131,DE,864160000.0,3.375,2028-04-06,EMTN,BBB+,AT MATURITY,EUR,XS2152061904,2.05065023956194,YLD_02012026,2.909,2026-01-02
Volkswagen Financial Services AG,VW,Automobiles Manufacturing,Consumer Discretionary,1.8095305844344212,DE,1121900000.0,0.875,2028-01-31,EMTN,BBB+,AT MATURITY,EUR,XS2438616240,1.86995208761123,YLD_02012026,2.85,2026-01-02
American Honda Finance Corp,HNDA,Automobiles Manufacturing,Consumer Discretionary,2.7296077667044125,US,703495000.0,3.3,2029-03-21,EMTN,A-,AT MATURITY,EUR,XS3032018239,3.00616016427105,YLD_02012026,2.968,2026-01-02
BMW International Investment BV,BMW,Automobiles Manufacturing,Consumer Discretionary,5.952179648242992,DE,781275000.0,3.5,2033-01-22,EMTN,A,AT MATURITY,EUR,XS2982332319,6.84736481861739,YLD_02012026,3.493,2026-01-02
PSA Tresorerie GIE,PEUGOT,Automobiles Manufacturing,Consumer Discretionary,5.896587808983791,FR,682320000.0,6.0,2033-09-19,#N/A Field Not Applicable,BBB-,AT MATURITY,EUR,FR0010014845,7.50444900752909,YLD_02012026,4.015,2026-01-02
Volkswagen Financial Services AG,VW,Automobiles Manufacturing,Consumer Discretionary,4.9521637344738805,DE,687700000.0,3.875,2031-11-19,#N/A Field Not Applicable,BBB+,AT MATURITY,EUR,XS2941605235,5.67008898015058,YLD_02012026,3.716,2026-01-02
Volkswagen Financial Services AG,VW,Automobiles Manufacturing,Consumer Discretionary,1.1078709858331424,DE,1058000000.0,3.25,2027-05-19,#N/A Field Not Applicable,BBB+,AT MATURITY,EUR,XS2941360963,1.16632443531828,YLD_02012026,2.709,2026-01-02
BP Capital Markets BV,BPLN,Integrated Oils,Energy,4.851447066509827,US,883680000.0,3.36,2031-09-12,EMTn,A,AT MATURITY,EUR,XS2902720171,5.4839151266256,YLD_02012026,3.256,2026-01-02
Volkswagen Leasing GmbH,VW,Automobiles Manufacturing,Consumer Discretionary,4.725817896427028,DE,741230000.0,4.75,2031-09-25,EMTN,A-,AT MATURITY,EUR,XS2694874533,5.51950718685832,YLD_02012026,3.471,2026-01-02
BMW International Investment BV,BMW,Automobiles Manufacturing,Consumer Discretionary,4.016654587582801,DE,837450000.0,3.125,2030-08-27,EMTN,A,AT MATURITY,EUR,XS2887901598,4.44079397672827,YLD_02012026,3.053,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,1.8055681362081064,IT,2133600000.0,4.3,2028-02-10,#N/A Field Not Applicable,A-,AT MATURITY,EUR,IT0005521171,1.89733059548255,YLD_02012026,2.55,2026-01-02
Petroleos Mexicanos,PEMEX,Integrated Oils,Energy,1.8095312679611413,MX,441874788.8,4.875,2028-02-21,EMTN,BB,AT MATURITY,EUR,XS1568888777,1.927446954141,YLD_02012026,3.88,2026-01-02
