"Issuer Name","Ticker","BICS Level 2","BICS Level 1","Mod Dur (Mid)","Cntry of Risk","Amt Out","Cpn","Maturity","Series","BBG Composite","Mty Type","Currency","ISIN","Residual_Maturity","YLD_02012026","YLD_06022026","YLD_06032026","YLD_09012026","YLD_13022026","YLD_13032026","YLD_16012026","YLD_16032026","YLD_20022026","YLD_23012026","YLD_27022026","YLD_30012026"
"Telecom Italia Finance SA","TITIM","Wireline Telecommunications Services","Communications","5.4412860298195023","IT",710622143,"7.75",2033-01-24,"EMTN","BB","AT MATURITY","EUR","XS0161100515",6.85284052019165,3.737,3.66,3.767,3.696,3.687,3.94,3.693,"3.9701906189675857",3.651,3.692,3.614,3.69
"American Honda Finance Corp","HNDA","Automobiles Manufacturing","Consumer Discretionary","5.0634753957628966","US",811725000,"3.95",2032-03-19,"EMTN","A-","AT MATURITY","EUR","XS3032019476",6.00136892539357,3.615,3.389,3.618,3.564,3.383,3.848,3.552,"3.8335153151978965",3.398,3.555,3.393,3.41
"Bayer AG","BAYNGR","Pharmaceuticals","Health Care","0.15811242325606556","DE",465360000,"2.5540000000000003",2027-08-14,"EMTN","BBB","AT MATURITY","EUR","XS3149166541",1.40451745379877,2.389,2.328,2.401,2.37,2.358,2.516,2.383,"2.5148860185574917",2.364,2.381,2.352,2.365
"General Motors Financial Co Inc","GM","Automobiles Manufacturing","Consumer Discretionary","3.0968770788440976","US",694320000,"3.1",2029-08-04,"EMTn","BBB","AT MATURITY","EUR","XS3140075816",3.37850787132101,3.075,2.938,3.244,3.005,2.899,3.454,3.008,"3.4205317499203294",2.916,3.03,2.888,2.929
"Volkswagen Financial Services AG","VW","Automobiles Manufacturing","Consumer Discretionary","3.9854486982835509","DE",806550000,"3.875",2030-09-10,"#N/A Field Not Applicable","BBB+","AT MATURITY","EUR","XS2837886287",4.47912388774812,3.308,3.138,3.359,3.247,3.132,3.544,3.188,"3.5271235500639917",3.133,3.166,3.067,3.072
"Ford Motor Credit Co LLC","F","Automobiles Manufacturing","Consumer Discretionary","3.5176976096228003","US",1073100000,"4.4450000000000003",2030-02-14,"EMTN","BB+","AT MATURITY","EUR","XS2767246908",3.90965092402464,3.829,3.575,3.881,3.7,3.537,4.222,3.607,"4.1983143214430196",3.476,3.641,3.459,3.571
"BMW International Investment BV","BMW","Automobiles Manufacturing","Consumer Discretionary","3.0712153994014542","DE",1041700000,"3.125",2029-07-22,"EMTN","A","AT MATURITY","EUR","XS2982332400",3.3429158110883,2.9,2.709,2.995,2.856,2.701,3.152,2.826,"3.1204097737810947",2.731,2.837,2.68,2.724
"BMW International Investment BV","BMW","Automobiles Manufacturing","Consumer Discretionary","5.7854365024326588","DE",923865000,"3.5",2032-11-17,"EMTN","A","AT MATURITY","EUR","XS2823825802",6.66666666666667,3.46,3.259,3.446,3.381,3.231,3.626,3.323,"3.6110387433735962",3.241,3.376,3.179,3.263
"Petroleos Mexicanos","PEMEX","Integrated Oils","Energy","2.6850196068823635","MX",1466500000,"4.75",2029-02-26,"#N/A Field Not Applicable","BB","AT MATURITY","EUR","XS1824424706",2.94318959616701,4.506,4.376,4.459,4.548,4.27,4.713,4.528,"4.7037044188962094",4.278,4.475,4.285,4.423
"Ford Motor Credit Co LLC","F","Automobiles Manufacturing","Consumer Discretionary","3.8896419860345191","US",784725000,"4.0659999999999998",2030-08-21,"EMTN","BB+","AT MATURITY","EUR","XS3006514536",4.42436687200548,3.881,3.611,3.906,3.8,3.636,4.169,3.683,"4.1455317496922985",3.563,3.723,3.527,3.64
"Volkswagen Financial Services AG","VW","Automobiles Manufacturing","Consumer Discretionary","1.8964784558595134","DE",864160000,"3.375",2028-04-06,"EMTN","BBB+","AT MATURITY","EUR","XS2152061904",2.05065023956194,2.909,2.696,2.936,2.827,2.662,3.148,2.754,"3.1153218233892734",2.663,2.762,2.618,2.68
"Volkswagen Financial Services AG","VW","Automobiles Manufacturing","Consumer Discretionary","1.8095305844344214","DE",1121900000,"0.875",2028-01-31,"EMTN","BBB+","AT MATURITY","EUR","XS2438616240",1.86995208761123,2.85,2.663,2.932,2.767,2.612,3.113,2.729,"3.0715559376962815",2.632,2.741,2.613,2.651
"American Honda Finance Corp","HNDA","Automobiles Manufacturing","Consumer Discretionary","2.7296077667044125","US",703495000,"3.3",2029-03-21,"EMTN","A-","AT MATURITY","EUR","XS3032018239",3.00616016427105,2.968,2.779,3.181,2.914,2.772,3.351,2.91,"3.329117538954983",2.815,2.888,2.819,2.789
"BMW International Investment BV","BMW","Automobiles Manufacturing","Consumer Discretionary","5.9521796482429918","DE",781275000,"3.5",2033-01-22,"EMTN","A","AT MATURITY","EUR","XS2982332319",6.84736481861739,3.493,3.292,3.547,3.41,3.284,3.736,3.376,"3.7071177909458961",3.304,3.402,3.259,3.276
"PSA Tresorerie GIE","PEUGOT","Automobiles Manufacturing","Consumer Discretionary","5.8965878089837913","FR",682320000,"6",2033-09-19,"#N/A Field Not Applicable","BBB-","AT MATURITY","EUR","FR0010014845",7.50444900752909,4.015,3.939,4.364,4.027,4.065,4.563,4.016,"4.5133625208006913",4.042,3.968,4.048,3.764
"Volkswagen Financial Services AG","VW","Automobiles Manufacturing","Consumer Discretionary","4.9521637344738805","DE",687700000,"3.875",2031-11-19,"#N/A Field Not Applicable","BBB+","AT MATURITY","EUR","XS2941605235",5.67008898015058,3.716,3.411,3.635,3.621,3.401,3.855,3.578,"3.8357079769306459",3.411,3.555,3.353,3.441
"Volkswagen Financial Services AG","VW","Automobiles Manufacturing","Consumer Discretionary","1.1078709858331424","DE",1.058e+09,"3.25",2027-05-19,"#N/A Field Not Applicable","BBB+","AT MATURITY","EUR","XS2941360963",1.16632443531828,2.709,2.528,2.704,2.657,2.501,2.798,2.645,"2.7672538078188267",2.503,2.608,2.51,2.541
"BP Capital Markets BV","BPLN","Integrated Oils","Energy","4.8514470665098273","US",883680000,"3.36",2031-09-12,"EMTn","A","AT MATURITY","EUR","XS2902720171",5.4839151266256,3.256,3.081,3.309,3.212,3.039,3.48,3.201,"3.4584915832929908",3.06,3.213,3.043,3.097
"Volkswagen Leasing GmbH","VW","Automobiles Manufacturing","Consumer Discretionary","4.7258178964270279","DE",741230000,"4.75",2031-09-25,"EMTN","A-","AT MATURITY","EUR","XS2694874533",5.51950718685832,3.471,3.286,3.508,3.415,3.259,3.75,3.417,"3.7283271394598438",3.254,3.45,3.231,3.297
"BMW International Investment BV","BMW","Automobiles Manufacturing","Consumer Discretionary","4.016654587582801","DE",837450000,"3.125",2030-08-27,"EMTN","A","AT MATURITY","EUR","XS2887901598",4.44079397672827,3.053,2.932,3.134,2.987,2.874,3.306,2.998,"3.2849659467773225",2.892,3.057,2.827,2.948
