Issuer Name,Mid Yield to Convention,Amt Out,Cpn,Maturity,Series,Mty Type
Bundesrepublik Deutschland Bundesanleihe,2.6810401921682,37891000000,2.6,15/08/2034,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.71940536302942,35857500000,2.5,15/02/2035,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.75543653692068,39446250000,2.6,15/08/2035,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.37997727075025,28490150000,2.5,15/08/2054,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.64496044002761,38325000000,2.2,15/02/2034,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.59818052278341,34278950000,2.6,15/08/2033,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.38906008271313,19632600000,2.9,15/08/2056,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.39434477580462,38000000000,0,15/08/2031,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.3916525934395,40775550000,0,15/08/2052,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.27715993196539,50054000000,2.5,15/08/2046,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.49104270895639,28467600000,1.7,15/08/2032,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,1.84258621206224,36685850000,0.5,15/02/2026,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.55314178628718,41417100000,2.3,15/02/2033,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.29518774928634,37496550000,0,15/08/2030,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.38542376528157,50682450000,0,15/08/2050,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.20468319730596,33240600000,0,15/08/2029,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.34596643431164,34241200000,0,15/02/2031,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.23822863805528,45733200000,2.5,04/07/2044,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.38062499288427,33017600000,1.8,15/08/2053,TWIN,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.25274084163105,25487800000,2.1,15/11/2029,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,1.99725563718976,32442850000,0.25,15/02/2027,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.03576737960731,34584750000,0.5,15/02/2028,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.45160383070053,35206700000,0,15/02/2032,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.14411627113583,33874850000,0.25,15/02/2029,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.76720955482246,25702250000,0,15/05/2035,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,1.96429361754281,35951500000,0,15/08/2026,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.00349220522335,32965625000,1,15/05/2038,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.2532406485354,31141600000,0,15/02/2030,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.14646045518829,19155600000,2.6,15/05/2041,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.8536211310499,32460200000,0,15/05/2036,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.08183650151057,33270900000,0.25,15/08/2028,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.03215812193583,37241750000,0.5,15/08/2027,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.70773082574439,6438275000,2.5,15/02/2035,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.3590000583347,30872800000,2.4,15/11/2030,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.17231034700119,28270000000,3.25,04/07/2042,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.33103944694253,48974500000,1.25,15/08/2048,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.63388886083235,26293400000,4.75,04/07/2034,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.02742255869589,24857525000,4.25,04/07/2039,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.0225972547566,23720400000,0,15/11/2027,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.10103895633913,32718600000,0,15/11/2028,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.86373338803705,36815400000,4,04/01/2037,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.36215198535199,15576675000,0,15/08/2050,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.068390835649,36116900000,4.75,04/07/2040,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.02153662736345,,6.5,04/07/2027,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.28985716967549,12984400000,0,15/08/2030,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.54731959167668,13256400000,2.3,15/02/2033,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.25238049659194,11856925000,6.25,04/01/2030,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,3.36613654366816,13098000000,1.8,15/08/2053,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.38827767778167,11228050000,0,15/08/2031,G,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.07471164736876,,4.75,04/07/2028,#N/A Field Not Applicable,AT MATURITY
Bundesrepublik Deutschland Bundesanleihe,2.35637159269756,18055700000,5.5,04/01/2031,#N/A Field Not Applicable,AT MATURITY
