Issuer Name,Mid Yield to Convention,Amt Out,Cpn,Maturity,Series,Mty Type
French Republic Government Bond OAT,3.41543912486296,50104000000,3.2,25/05/2035,OAT,AT MATURITY
French Republic Government Bond OAT,3.34952562227566,43751000000,3,25/11/2034,OAT,AT MATURITY
French Republic Government Bond OAT,4.17350081560718,14472000000,0.5,25/05/2072,OAT,AT MATURITY
French Republic Government Bond OAT,4.37036953877121,24174000000,3.25,25/05/2055,OAT,AT MATURITY
French Republic Government Bond OAT,4.39819624006766,19478000000,3.75,25/05/2056,OAT,AT MATURITY
French Republic Government Bond OAT,2.46223659935893,58225000000,2.75,25/02/2029,OAT,AT MATURITY
French Republic Government Bond OAT,3.21071263741837,55439000000,3.5,25/11/2033,OAT,AT MATURITY
French Republic Government Bond OAT,2.80164195555199,38875000000,2.7,25/02/2031,OAT,AT MATURITY
French Republic Government Bond OAT,2.63439956390492,56570000000,2.75,25/02/2030,OAT,AT MATURITY
French Republic Government Bond OAT,4.35751538586418,25978000000,3,25/05/2054,OAT,AT MATURITY
French Republic Government Bond OAT,2.10143323045671,27651000000,2.5,24/09/2026,OAT,AT MATURITY
French Republic Government Bond OAT,3.13844671585679,45720000000,3,25/05/2033,OAT,AT MATURITY
French Republic Government Bond OAT,3.885635849207,34330000000,0.5,25/05/2040,OAT,AT MATURITY
French Republic Government Bond OAT,2.38921642982246,44383000000,2.4,24/09/2028,OAT,AT MATURITY
French Republic Government Bond OAT,2.20376666342581,44301000000,2.5,24/09/2027,OAT,AT MATURITY
French Republic Government Bond OAT,2.12371478927069,10599000000,0.1,25/07/2053,OATe,AT MATURITY
French Republic Government Bond OAT,3.29804257310008,65035000000,1.25,25/05/2034,OAT,AT MATURITY
French Republic Government Bond OAT,3.98171877221139,17572000000,3.6,25/05/2042,OAT,AT MATURITY
French Republic Government Bond OAT,3.37583617831827,35936000000,4.75,25/04/2035,OAT,AT MATURITY
French Republic Government Bond OAT,3.06494900531062,56408000000,2,25/11/2032,OAT,AT MATURITY
French Republic Government Bond OAT,2.90722176188085,59865000000,0,25/11/2031,OAT,AT MATURITY
French Republic Government Bond OAT,2.32649079051342,67202000000,0.75,25/05/2028,OAT,AT MATURITY
French Republic Government Bond OAT,4.02725962740164,25939000000,2.5,25/05/2043,OAT,AT MATURITY
French Republic Government Bond OAT,3.74687137151874,33712000000,1.25,25/05/2038,OAT,AT MATURITY
French Republic Government Bond OAT,2.50238894196227,58805000000,0.5,25/05/2029,OAT,AT MATURITY
French Republic Government Bond OAT,2.99190320237372,47745000000,0,25/05/2032,OAT,AT MATURITY
French Republic Government Bond OAT,2.41316143512432,62095000000,0.75,25/11/2028,OAT,AT MATURITY
French Republic Government Bond OAT,2.65400864181995,70882000000,2.5,25/05/2030,OAT,AT MATURITY
French Republic Government Bond OAT,1.39510136137288,11812000000,0.6,25/07/2034,OATe,AT MATURITY
