Issuer Name,Mid Yield to Convention,Amt Out,Cpn,Maturity,Series,Mty Type
Italy Buoni Poliennali Del Tesoro,2.93090161864031,21100000000,3.15,15/11/2031,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.37817143446975,20900000000,3.85,01/02/2035,11Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.44062603108117,21372835000,3.65,01/08/2035,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.25953983778091,14905670000,2.85,25/02/2033,PIU,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.37065298570325,14750000000,4.3,01/10/2054,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.868618325114,19200000000,3.45,15/07/2031,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.35054854397596,14500000000,4.5,01/10/2053,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.69516623332104,18075000000,2.95,01/07/2030,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.56933522932667,16200000000,3,01/10/2029,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.90917685459111,16850000000,3.85,01/10/2040,15Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.15242311085679,17150000000,2.55,25/02/2027,2Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.07242614328926,14256167000,3.1,28/08/2026,2Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.34682417779781,22604000000,3.35,01/03/2035,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.20964302381219,20200000000,4.35,01/11/2033,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.16665451835281,8650000000,2.15,01/03/2072,50Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.32724344701305,15940686000,2.65,15/06/2028,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.30501503859615,19521883000,3.85,01/07/2034,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.54806906272334,34219008000,4,01/02/2037,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.74314686183625,18250000000,2.7,01/10/2030,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.24227243786728,17375000000,1.7,01/09/2051,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.85464813457768,18316424000,3.25,05/03/2030,VALR,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.16504015730017,19881254000,3.45,01/03/2048,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.18015096647581,14121391000,3.45,15/07/2027,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.2054448876359,16876496000,2.1,26/08/2027,2Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.06012842777981,23188000000,2.5,01/12/2032,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.19211663203007,18117966000,3.85,01/09/2049,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.11217020213317,5000000000,4.1,30/04/2046,20Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.22131336659546,15400000000,2.7,15/10/2027,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.27545995221423,18191090000,4,13/06/2027,VALR,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.825842325395,16600000000,4.15,01/10/2039,15Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.44219292054571,17190004000,4.1,10/10/2028,VALR,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.46498167951839,20523784000,3.6,01/10/2035,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.86879309134118,13025573000,4,30/10/2031,8Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.30843899337121,10633000000,2.8,01/03/2067,50Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.18563124809812,11994517000,1.6,22/11/2028,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.25888805729024,20173518000,4.2,01/03/2034,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.26615533564261,9102430000,2.15,01/09/2052,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.12668075712754,21350000000,4.4,01/05/2033,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.97371887655538,22600000000,0.95,01/06/2032,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.74849831678021,8790678000,1.85,04/06/2032,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.05094782338387,14900000000,4.45,01/09/2043,20Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.06580664689535,13500000000,1.5,30/04/2045,24Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.80283249827122,5477083000,1.2,27/04/2037,FUT,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.85802182840469,11226556000,3.35,14/05/2030,VALR,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.03948030040413,18617355000,3.25,15/07/2032,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.16003091070671,22876925000,2.45,01/09/2033,15Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.69593202422198,16062855000,3.25,01/03/2038,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.73602945549927,13787500000,1.8,15/05/2036,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.16062940736283,9916862000,2,14/03/2028,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.21189988070558,6803220000,0.15,15/05/2051,CPI,AT MATURITY
