Tenor,Description,Yield,
6M,EUR006M BGN Curncy,2.110, 
7M, ,2.116, 
8M, ,2.122, 
9M, ,2.135, 
10M, ,2.131, 
11M, ,2.137, 
12M, ,2.149, 
15M, ,2.137, 
18M, ,2.158, 
2Y,EUSA2 BGN Curncy,2.198,BGN
3Y,EUSA3 BGN Curncy,2.283,BGN
4Y,EUSA4 BGN Curncy,2.372,BGN
5Y,EUSA5 BGN Curncy,2.454,BGN
6Y,EUSA6 BGN Curncy,2.531,BGN
7Y,EUSA7 BGN Curncy,2.605,BGN
8Y,EUSA8 BGN Curncy,2.676,BGN
9Y,EUSA9 BGN Curncy,2.740,BGN
10Y,EUSA10 BGN Curncy,2.799,BGN
11Y,EUSA11 BGN Curncy,2.854,BGN
12Y,EUSA12 BGN Curncy,2.904,BGN
15Y,EUSA15 BGN Curncy,3.018,BGN
20Y,EUSA20 BGN Curncy,3.108,BGN
25Y,EUSA25 BGN Curncy,3.130,BGN
30Y,EUSA30 BGN Curncy,3.128,BGN
40Y,EUSA40 BGN Curncy,3.097,BGN
50Y,EUSA50 BGN Curncy,3.039,BGN
