"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"AAPL","NSS ECB",0,0,0.213591666666667,0.024325,12
"AAPL","NSS OLS",0,0,0.124658333333333,0.145275,12
"AAPL","NSS WLS",0,0,0.434,0.0617833333333333,12
"ABESM","NSS ECB",0,0,0.749,0.0563,12
"ABESM","NSS OLS",0.00296666666666667,0.00185,0.0888416666666667,0.364466666666667,12
"ABESM","NSS WLS",5e-05,0.000358333333333333,0.240241666666667,0.0860416666666667,12
"ABIBB","Cubic Spline",0.0381916666666667,0.321541666666667,0,2.79865833333333,12
"ABIBB","NSS ECB",0,0,117.409466666667,0.143783333333333,12
"ABIBB","NSS OLS",0.00601666666666667,0.0461666666666667,12058335.6983667,0.304516666666667,12
"ABIBB","NSS WLS",0.0142333333333333,0.142175,71.8295583333333,0.386633333333333,12
"AMZN","NSS ECB",0.1761,0.3557,0.00015,0.00245,2
"AMZN","NSS OLS",0.17845,0.35115,0,0,2
"AMZN","NSS WLS",0.1761,0.35575,8e-04,0.0017,2
"ANESM","NSS ECB",0,0,0.775991666666667,0.0867083333333333,12
"ANESM","NSS OLS",0,0.000108333333333333,0.799,0.210508333333333,12
"ANESM","NSS WLS",0,0.000141666666666667,0.907725,0.0534833333333333,12
"ANNGR","Cubic Spline",0.0822583333333333,0.0757,12.4424583333333,2.96866666666667,12
"ANNGR","NSS ECB",0.0148,0.0118416666666667,6.35923333333333,0.689791666666667,12
"ANNGR","NSS OLS",0.0416833333333333,0.06065,4.80585833333333,0.952983333333333,12
"ANNGR","NSS WLS",0.0306333333333333,0.0505166666666667,4.725675,0.172183333333333,12
"ANVAU","Cubic Spline",0.1480375,0.8885375,0.0043,2.69675,8
"ANVAU","NSS ECB",0.057775,0.330541666666667,506.867675,0.819741666666667,12
"ANVAU","NSS OLS",0.0791166666666667,0.3706,24010993.930025,1.8671,12
"ANVAU","NSS WLS",0.05785,0.333441666666667,2459.83044166667,1.34035833333333,12
"ATOSTR","NSS ECB",0,0,1.13904166666667,0.0339416666666667,12
"ATOSTR","NSS OLS",0,0,0.443583333333333,0.16645,12
"ATOSTR","NSS WLS",0,0,0.939425,0.0758916666666667,12
"AYVFP","Cubic Spline",0.0413833333333333,0.103583333333333,0.136633333333333,3.068225,12
"AYVFP","NSS ECB",0.0392333333333333,0.08255,1.81581666666667,0.627975,12
"AYVFP","NSS OLS",0.0411666666666667,0.0894833333333333,1.39705833333333,3.71995833333333,12
"AYVFP","NSS WLS",0.0410416666666667,0.094925,0.86305,0.725416666666667,12
"BASGR","Cubic Spline",0.198341666666667,1.45234166666667,0,1.67739166666667,12
"BASGR","NSS ECB",0.186575,1.33943333333333,1097.94326666667,0.210066666666667,12
"BASGR","NSS OLS",0.148475,0.862108333333333,105769972.943833,3.29329166666667,12
"BASGR","NSS WLS",0.11695,0.842166666666667,121861691801.592,3.693075,12
"BHP","NSS ECB",0,0,0.241641666666667,0.03165,12
"BHP","NSS OLS",0,1e-04,0.282766666666667,0.170016666666667,12
"BHP","NSS WLS",0,0.000116666666666667,0.623483333333333,0.0832333333333333,12
"BMW","Cubic Spline",0.084575,0.500758333333333,0.06585,2.91145,12
"BMW","NSS ECB",0.08365,0.495316666666667,0.287175,0.998091666666667,12
"BMW","NSS OLS",0.0851,0.500333333333333,0.13605,0.595341666666667,12
"BMW","NSS WLS",0.0844916666666667,0.498841666666667,0.105641666666667,1.25455833333333,12
"BPLN","Cubic Spline",0.0308833333333333,0.1406,0.31705,1.54173333333333,12
"BPLN","NSS ECB",0.03345,0.159741666666667,1.15354166666667,0.467558333333333,12
"BPLN","NSS OLS",0.043325,0.182966666666667,0.04905,0.373325,12
"BPLN","NSS WLS",0.03585,0.188183333333333,0.377791666666667,0.717358333333333,12
