Issuer Name,Ticker,BICS Level 2,BICS Level 1,Mod Dur (Mid),Cntry of Risk,Amt Out,Cpn,Maturity,Series,BBG Composite,Mty Type,Currency,ISIN,Residual_Maturity,Date_Column,Yield,Date
Petroleos Mexicanos,PEMEX,Integrated Oils,Energy,2.6850196068823635,MX,1466500000.0,4.75,2029-02-26,#N/A Field Not Applicable,BB,AT MATURITY,EUR,XS1824424706,2.94318959616701,YLD_02012026,4.506,2026-01-02
BP Capital Markets BV,BPLN,Integrated Oils,Energy,4.851447066509827,US,883680000.0,3.36,2031-09-12,EMTn,A,AT MATURITY,EUR,XS2902720171,5.4839151266256,YLD_02012026,3.256,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,1.8055681362081064,IT,2133600000.0,4.3,2028-02-10,#N/A Field Not Applicable,A-,AT MATURITY,EUR,IT0005521171,1.89733059548255,YLD_02012026,2.55,2026-01-02
Petroleos Mexicanos,PEMEX,Integrated Oils,Energy,1.8095312679611413,MX,441874788.8,4.875,2028-02-21,EMTN,BB,AT MATURITY,EUR,XS1568888777,1.927446954141,YLD_02012026,3.88,2026-01-02
Petroleos Mexicanos,PEMEX,Integrated Oils,Energy,1.0267477701405725,MX,752778924.6,2.75,2027-04-21,EMTN,BB,AT MATURITY,EUR,XS1172951508,1.08966461327858,YLD_02012026,3.695,2026-01-02
ORLEN SA,PKNPW,Integrated Oils,Energy,5.387435979409208,PL,707340000.0,3.625,2032-07-02,GMTN,BBB+,AT MATURITY,EUR,XS3104553931,6.28884325804244,YLD_02012026,3.647,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,5.923186663513658,IT,1352625000.0,4.25,2033-05-19,EMTN,A-,AT MATURITY,EUR,XS2623956773,7.16769336071184,YLD_02012026,3.579,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,2.402765197864063,IT,670620000.0,1.125,2028-09-19,EMTN,A-,AT MATURITY,EUR,XS1493328477,2.50513347022587,YLD_02012026,2.634,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,1.1048954916127458,IT,811575000.0,3.625,2027-05-19,EMTN,A-,AT MATURITY,EUR,XS2623957078,1.16632443531828,YLD_02012026,2.472,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,6.6141097707097,IT,1094800000.0,3.875,2034-01-15,EMTN,A-,AT MATURITY,EUR,XS2739132897,7.82751540041068,YLD_02012026,3.621,2026-01-02
